ppm,S200538,S200624,S200627,S200725,S200547,S202042,S200796,S200793,S201032,S200610,S200607,S200820,S200071
PPM0.7885,1488.58,1585.7147,1255.5183,2420.4424,1481.1928,1382.32,1936.8773,1530.2339,1342.5999,1207.4605,1168.9564,1454.2692,1066.1812
PPM0.7875,1441.4929,1563.3347,1223.1144,2392.8946,1447.7451,1317.969,1860.3278,1466.2994,1299.3556,1143.3867,1119.6669,1406.9897,1013.0607
PPM0.7865,1385.1599,1531.4677,1152.6138,2366.3517,1406.5512,1273.3064,1818.7663,1451.9647,1246.5773,1101.8019,1095.1417,1330.0007,989.7292
PPM0.7855,1340.0812,1478.669,1062.923,2300.6749,1355.6788,1261.4113,1781.7447,1446.0899,1208.6107,1079.6283,1073.0422,1300.7191,960.8229
PPM0.7845,1304.4051,1441.593,1016.0664,2259.2318,1289.6815,1268.1258,1754.2276,1431.48,1176.1759,1051.3071,1017.9853,1280.1275,920.254
PPM0.7835,1272.496,1405.471,996.2489,2232.6463,1252.3028,1256.2285,1694.7881,1399.0405,1149.084,1003.6508,988.8092,1253.5751,906.9438
PPM0.7825,1224.5889,1376.3717,988.3589,2215.6675,1249.1685,1208.6734,1657.7203,1359.9824,1113.6484,946.0123,979.8897,1222.2548,905.4364
PPM0.7815,1181.1338,1353.3713,981.6122,2194.9399,1246.7792,1141.9656,1632.0168,1328.0129,1068.6869,911.2569,954.099,1184.2132,889.0282
PPM0.7805,1165.1574,1336.8418,968.0241,2157.766,1197.0869,1101.3028,1591.0019,1300.7596,1028.536,902.5369,951.7696,1145.7747,870.4278
PPM0.7795,1149.0414,1322.6352,966.5961,2120.5747,1159.1397,1067.3785,1561.3689,1271.0284,991.7141,893.9997,898.7258,1124.9109,837.367
PPM0.7785,1108.1449,1318.3145,940.486,2099.2109,1149.4892,1054.2555,1542.2879,1215.5992,971.2062,862.7162,844.0371,1086.7817,778.2806
PPM0.7775,1086.1245,1284.8587,905.3266,2097.9217,1125.0867,1037.2708,1502.1786,1206.312,959.7463,837.4919,840.9567,1058.139,739.5948
PPM0.7765,1074.5511,1268.1686,914.8676,2061.6635,1135.061,1014.0842,1471.0769,1215.3911,952.3463,821.0087,827.8103,1045.6412,751.1236
PPM0.7755,1061.6508,1244.2521,912.4158,2035.1576,1136.7221,1005.3095,1443.1912,1197.5956,940.4191,791.5549,810.3293,1032.5553,755.7817
PPM0.7745,1081.7199,1217.4491,888.9197,1996.7433,1101.5556,976.8863,1399.1475,1163.3201,908.4055,773.4199,819.6904,991.2814,730.1243
PPM0.7735,1071.7329,1209.847,863.6517,1953.6674,1075.7307,972.0992,1411.9831,1129.513,865.0355,756.8046,810.3847,979.0947,706.8568
PPM0.7725,1023.3027,1186.3181,845.2655,1931.6943,1054.481,976.3931,1409.5931,1119.8713,864.1139,739.7226,788.7602,954.6254,682.7479
PPM0.7715,994.9516,1157.3815,836.9398,1885.9634,1037.3996,994.632,1375.8518,1122.052,842.1422,731.9228,798.5923,948.355,672.1616
PPM0.7705,972.191,1132.8863,821.448,1822.1981,1017.4293,984.3448,1345.3719,1114.325,830.7269,710.8682,777.2966,945.1168,675.3654
PPM0.7695,971.1686,1131.5772,801.3841,1764.8816,987.8959,975.4859,1321.3666,1076.4196,821.3474,696.5931,748.9674,928.3825,697.2978
PPM0.7685,939.5284,1136.155,776.03,1703.1802,957.629,929.3731,1295.2806,1045.6895,811.9573,694.7744,739.9901,915.1894,699.337
PPM0.7675,903.9494,1103.2657,741.2183,1657.0248,949.1535,885.2725,1283.0932,1045.3863,830.1282,679.3126,737.7351,925.2357,668.7743
PPM0.7665,889.2909,1057.427,720.3752,1615.0027,934.2683,869.5407,1270.8078,1022.4678,837.3257,658.0544,719.8591,928.0046,673.1195
PPM0.7655,866.9947,1032.0594,713.3159,1591.064,868.8017,862.8841,1270.3005,1011.0528,817.6982,644.5286,707.9763,932.8544,674.1484
PPM0.7645,839.7157,1028.1156,709.604,1556.1226,823.681,847.7636,1251.3166,976.9904,799.209,650.7623,725.9025,914.9246,638.8161
PPM0.7635,803.3084,1023.2926,704.7653,1529.1673,801.9584,835.54,1228.3677,958.7635,784.7758,668.2277,725.8336,888.0622,606.359
PPM0.7625,774.3648,1000.4427,700.3223,1531.2066,798.9214,821.7546,1202.0827,947.0248,755.8347,663.1684,690.5812,833.3978,580.9547
PPM0.7615,758.2079,958.4772,686.5283,1500.6943,802.7563,786.6067,1187.1924,922.6705,720.4481,634.0441,653.1097,799.1592,555.2103
PPM0.7605,736.6003,936.0148,655.1499,1428.6207,791.7142,744.8429,1148.9289,890.497,723.2464,598.5421,622.9961,771.318,548.1611
PPM0.7595,716.7856,934.7899,621.9079,1402.7124,759.4241,731.8999,1116.1958,873.169,714.79,577.1875,616.5245,734.4012,548.4675
PPM0.7585,684.2671,911.0568,633.5287,1386.3652,726.268,743.2622,1107.6912,860.965,678.2014,546.6959,595.1089,738.6956,517.9498
PPM0.7575,679.8468,897.2735,621.1499,1369.011,689.634,704.3423,1085.4601,833.3757,639.5182,544.7162,558.5005,738.4921,494.986
PPM0.7565,658.7298,867.6177,589.7161,1333.0084,669.8918,657.2395,1052.0698,797.9923,605.712,537.4833,536.5798,728.0963,475.3827
PPM0.7555,648.6334,848.7831,564.9061,1308.8542,671.7646,641.9041,1038.1943,775.6614,595.5061,550.0606,529.76,730.5111,489.5256
PPM0.7545,662.6388,828.5779,558.8641,1307.0564,640.9301,633.803,1017.4942,752.7605,594.7645,546.9889,554.0998,728.1146,500.4737
PPM0.7535,649.1801,802.8089,541.3991,1253.6474,638.675,622.5093,986.2428,761.9241,560.5695,546.1256,571.933,715.1329,486.3785
PPM0.7525,613.4629,772.0209,536.296,1190.9106,637.3654,593.1805,950.0731,761.0495,535.4297,564.65,560.5192,702.8448,467.8903
PPM0.7515,588.7118,742.8449,514.1209,1165.3506,602.7201,589.1731,949.4651,725.3572,520.3203,559.8262,561.1217,660.4872,463.9404
PPM0.7505,575.5314,738.9385,505.9595,1165.2652,598.488,580.3636,932.2763,706.9008,513.3825,516.359,562.7829,629.9129,471.2166
PPM0.7495,571.8557,743.2315,511.2849,1138.5088,583.9593,569.8718,915.9302,703.3381,516.451,476.0501,535.8546,613.0067,457.7774
PPM0.7485,590.3132,716.7079,498.9501,1095.3035,557.7992,561.5679,883.7434,681.7873,525.4892,463.4701,520.253,601.4453,436.4975
