ppm,S200538,S200624,S200627,S200725,S200547,S202042,S200796,S200793,S201032,S200610,S200607,S200820,S200071
PPM9.9995,-30.3819,-55.4773,9.608,2.5869,-42.69,39.7275,38.5443,9.9556,1.794,-14.4089,-3.351,-6.4719,32.802
PPM9.9985,-33.7355,-51.2835,13.1745,-5.3887,-29.6779,5.2069,14.6058,3.8614,6.4294,-29.1162,13.4681,-18.4465,30.1477
PPM9.9975,-27.2968,-30.2512,31.7148,26.352,-1.5081,-28.9761,0.3119,-15.1168,17.039,-23.2661,8.0274,-31.9547,27.3295
PPM9.9965,6.044,-41.0213,33.8749,35.6148,18.0768,-39.1136,-10.9388,-38.1966,-6.1576,16.7167,-0.9599,-30.8812,14.232
PPM9.9955,21.5327,-30.6229,21.3699,31.2936,13.6328,-44.6852,-12.4581,-38.361,-14.5672,27.3653,13.4438,-35.5402,-10.4843
PPM9.9945,3.0219,1.0929,55.2972,13.7902,14.0176,-43.0466,6.9826,-26.8171,-3.1367,19.9831,30.8796,-34.4264,11.1326
PPM9.9935,-9.8127,2.5256,68.4582,35.087,14.8838,-11.7894,28.5751,13.5131,-6.4847,7.5824,31.0034,-13.2664,32.6475
PPM9.9925,1.903,-22.4003,56.9662,35.1825,4.1443,-13.9924,18.5372,14.8081,-20.6316,-4.8708,-7.6603,15.0092,21.7494
PPM9.9915,-18.3329,-40.0259,43.9863,0.2975,-11.0946,-6.3512,13.8897,-2.4389,-27.7953,-23.2365,-45.2376,27.1433,13.2832
PPM9.9905,-34.5687,-21.0779,11.568,-21.0607,-20.0597,-5.1177,37.4845,-28.7116,-20.2455,-22.3774,-31.4923,21.4407,9.4772
PPM9.9895,-25.689,3.3096,-2.6644,-46.0961,-16.4914,-6.1738,32.9694,-40.735,5.7669,-4.4294,0.9806,-1.9091,9.9581
PPM9.9885,-6.7919,5.2097,-8.3224,-41.7088,-12.2232,-13.2943,16.9582,-39.4263,7.5495,-5.5618,23.9544,-3.2045,6.3426
PPM9.9875,12.5841,7.8024,-15.1018,-4.749,-25.7424,-6.9989,3.2679,-32.652,20.7905,-17.824,3.2024,21.7104,3.81
PPM9.9865,10.3273,22.0787,-18.047,-8.563,-30.8583,-12.5032,18.9061,-36.3631,30.0206,-16.3723,-29.5782,26.0836,-2.3366
PPM9.9855,12.8618,32.6878,-14.1509,-44.8392,-46.2845,14.1694,4.6874,-45.2658,18.7558,-14.2111,-11.6738,9.3476,-37.9804
PPM9.9845,26.5128,25.7771,0.0223,-49.8347,-63.424,47.3116,-1.2914,-31.9958,14.64,-26.2748,1.9992,-5.2628,-45.7769
PPM9.9835,31.6768,9.0586,-12.8946,-18.6721,-59.6285,42.9827,4.1461,-22.2752,33.8888,-37.7849,19.5107,2.197,-33.0347
PPM9.9825,14.5911,-4.9511,-16.0559,-3.1016,-59.3514,-2.9233,11.713,-28.7793,13.6388,-20.6591,22.4796,8.8964,2.1037
PPM9.9815,24.0177,-15.5121,-0.5329,4.4545,-54.77,-31.768,39.0418,-30.7857,-0.2639,6.0848,7.6857,-1.1066,14.2054
PPM9.9805,17.9971,9.5107,12.407,-10.4377,-37.4697,-19.7828,39.9307,-20.3096,-4.526,7.647,14.8279,-21.4464,15.671
PPM9.9795,10.4169,-9.6285,18.2351,-23.3399,-24.2464,8.4173,24.9904,-12.2384,-25.46,-4.0487,22.5901,-20.6215,21.6216
PPM9.9785,-1.7596,-16.6638,11.6284,-25.4168,-18.3544,22.2557,0.988,-22.9153,-29.0185,-11.1226,26.4863,-13.5895,27.4018
PPM9.9775,-2.3229,-0.9812,26.4589,-17.8868,-21.0839,8.4642,17.3316,-18.7558,-3.9551,-12.3447,17.9397,-46.0128,25.0526
PPM9.9765,0.6056,11.4746,51.9475,-11.7496,-38.4763,-3.2308,13.646,-9.2636,3.9921,-5.3643,32.2538,-48.4821,24.2493
PPM9.9755,0.8341,35.7371,54.9141,-22.0238,-56.7317,3.6237,-11.7234,0.1538,11.8024,-0.8716,31.6216,-40.7946,4.6538
PPM9.9745,22.2508,36.7426,60.4433,-5.4224,-27.1194,-17.3433,-31.9653,11.5084,38.8317,2.4604,34.0015,-43.0576,-19.4707
PPM9.9735,43.0367,-2.7909,46.7297,-9.3519,2.2622,-32.9694,-34.0885,20.8901,67.7128,0.6243,35.6635,-55.1928,-12.0095
PPM9.9725,51.2131,-22.1644,37.621,-10.0526,-4.0801,-26.9642,7.8337,-1.9295,57.8613,-9.9936,43.4508,-34.3248,13.3251
PPM9.9715,35.1748,-8.2143,20.6006,-4.0301,-11.0495,-8.064,33.9249,-17.7478,41.4836,-10.9081,46.5872,-22.0356,36.4673
PPM9.9705,18.4559,-7.9345,6.8621,-9.6242,-32.3004,-1.5915,21.073,-18.8234,28.0368,-10.2115,35.3237,-0.2668,63.7287
PPM9.9695,-6.9729,6.873,16.7381,-17.9995,-38.9345,-20.6894,25.5745,6.1946,32.2846,-6.6543,17.6029,3.5259,69.9186
PPM9.9685,-19.8317,27.6613,8.7033,-27.4561,-12.1176,-40.4529,38.826,5.0974,32.0225,2.532,-8.4286,9.6218,52.3402
PPM9.9675,-22.0138,20.5029,17.7423,-6.2578,-17.3581,-43.3791,37.0328,-19.9935,33.4492,24.0142,-18.2228,10.394,29.9014
PPM9.9665,-33.6564,9.0532,32.7432,8.1695,-20.2013,-46.9444,34.8397,-45.4175,28.8217,25.4956,-8.0416,7.5498,16.362
PPM9.9655,-37.944,4.5393,21.5644,21.2385,-30.2907,-36.6662,45.1909,-27.9435,44.7645,17.9041,7.4065,17.1725,15.5647
PPM9.9645,-32.0413,-5.6521,17.3801,11.7562,-18.7497,-24.6048,30.4128,6.8943,55.8343,28.5501,1.5623,17.1652,0.0625
PPM9.9635,-38.7119,-4.5291,9.6699,-7.5533,-2.0774,-17.3074,-11.2363,39.0773,66.9111,30.4514,-30.2908,6.447,-25.1714
PPM9.9625,-39.4881,9.9969,-13.2186,-1.7319,-10.8123,-10.3521,-33.1773,62.3456,74.7531,-7.3899,-8.4131,-9.0484,-34.1307
PPM9.9615,-8.1245,35.6573,-11.6721,10.6497,-28.8085,22.4495,-23.1359,60.2528,38.582,-41.6234,-24.7196,-7.923,-46.9119
PPM9.9605,-9.6873,17.6852,-6.202,15.7123,-30.5462,22.3107,-22.5919,35.1634,7.5864,-22.4936,-52.4018,3.2776,-62.1101
PPM9.9595,-25.577,11.2015,-6.7237,11.337,-25.4253,1.671,-16.1496,21.2115,-5.764,-10.6595,-34.9876,12.9245,-52.1878
PPM9.9585,-33.292,11.9959,0.0637,-6.1026,-13.6784,7.8383,4.8179,11.311,-19.185,-31.6116,-9.8464,16.0305,-34.1842
PPM9.9575,-56.9437,5.8459,-13.3533,-16.5141,1.5152,19.4913,-5.1185,5.2677,-19.7354,-16.6487,-16.53,18.3406,-28.5511
PPM9.9565,-42.5173,-10.8883,-19.9194,-19.3393,4.406,20.8012,-1.1703,3.1683,-0.8117,5.153,-8.0373,0.4955,-16.4874
PPM9.9555,-10.6253,-22.1943,-21.8306,-6.409,20.0128,30.6885,15.6965,-31.1819,-0.2603,-11.0293,-0.8326,-25.0184,-0.5088
PPM9.9545,2.7173,-5.2338,-27.4902,-14.4183,29.0622,45.0048,0.9227,-36.0176,2.6348,-13.2655,-14.0683,-31.2654,1.3611
PPM9.9535,13.5913,-12.286,-19.0942,-42.7642,32.4617,26.115,-24.6106,-32.2751,1.6483,-10.6392,-18.2907,-9.6039,6.5257
PPM9.9525,-8.5695,-14.3406,-24.2455,-63.8273,18.471,4.5069,-33.6027,-29.1104,4.4388,17.246,-11.8005,0.4406,14.7365
PPM9.9515,-18.4225,-26.0513,-27.5227,-58.5767,7.6224,-9.4986,-9.7304,-33.0619,0.3646,26.4701,-23.1229,5.8355,-11.8393
PPM9.9505,-7.6849,-8.74,-33.9663,-52.3091,0.3721,-5.6005,22.0694,-32.1896,5.8358,6.1218,-49.828,20.0135,-19.8589
PPM9.9495,1.8399,6.9131,-12.8776,-23.9554,-12.6232,-8.371,18.9857,-23.2897,24.8472,-6.0624,-39.3379,11.9988,-25.6159
PPM9.9485,-13.2389,1.3832,-3.4065,-24.4568,-0.1868,-5.0899,1.9062,-40.6854,29.6678,-4.1427,-14.3165,11.3852,-33.3415
PPM9.9475,2.9469,-30.2573,-11.3938,-23.274,10.1403,18.2799,-4.1182,-23.3786,24.3594,-16.7187,1.657,-4.1335,-24.6641
PPM9.9465,7.9253,-48.7969,6.0005,-25.9689,7.5629,26.7297,-3.5969,-14.1213,10.291,-3.9205,-1.0286,7.3808,-20.4728
PPM9.9455,-4.6092,-29.2316,-0.3029,-28.0275,-0.5269,12.0705,2.7273,-26.7112,10.7444,14.3573,-18.6747,26.0125,-13.2123
PPM9.9445,-0.1913,16.9848,-7.5316,-9.0143,12.4519,3.9802,-11.0389,-17.2275,2.4243,20.2231,-18.7232,22.7262,-7.9241
PPM9.9435,-11.0436,19.1132,-15.9205,6.6037,3.9313,-24.1885,-31.1858,-30.0661,-20.6806,19.7144,-8.5225,30.1781,1.7918
PPM9.9425,-25.1335,-28.2497,-5.9067,-9.324,-24.5985,-36.494,-28.3066,-7.6346,-16.5704,13.2638,24.0537,35.1831,5.3921
PPM9.9415,-52.2421,-31.6186,15.6475,-20.3332,-17.7173,-21.6403,-20.9012,26.4579,-18.8729,29.4291,24.2544,26.8408,-20.6692
PPM9.9405,-56.4949,-20.1772,15.7599,-1.6502,-3.7823,-18.9877,-0.129,18.2464,-17.2535,28.0378,21.7132,18.2637,-1.3074
PPM9.9395,-33.7984,-40.9157,-17.4162,14.1968,16.5451,-6.7002,24.744,3.1509,-11.6856,31.2164,29.5349,-7.4724,16.0632
PPM9.9385,-23.0186,-44.3424,-15.8043,-3.1028,9.8583,12.2461,22.9742,8.037,-7.3707,28.951,18.0268,-34.6484,4.41
PPM9.9375,4.9778,-30.2961,3.6273,-41.3907,20.427,28.1375,16.6271,-2.9384,-20.4376,-4.1961,14.9208,-42.4869,-10.1232
PPM9.9365,43.196,-3.1844,-13.5748,-27.0498,26.5953,21.5009,19.0992,14.3913,-12.3248,-15.5746,7.4756,-52.5837,4.0556
PPM9.9355,30.365,1.2914,-40.0196,-29.6863,14.9949,5.6865,9.8566,29.1681,-13.3871,-13.6585,5.2331,-40.5154,2.9003
PPM9.9345,2.3459,-14.6475,-32.5554,-44.4009,-10.4109,33.0911,-9.8311,-12.5661,-28.4893,-4.3585,-11.0195,-35.2204,-11.4463
PPM9.9335,15.4891,-17.4065,-11.3989,-26.3116,-12.0441,41.5305,-12.7627,-34.2304,-27.1965,1.6832,-0.2554,-3.8566,-26.629
PPM9.9325,36.5933,-13.1229,-2.8738,-3.2485,25.2955,13.9809,11.3448,-26.2325,-11.3883,16.5105,19.7116,9.5921,-14.1396
PPM9.9315,26.8319,-2.3438,-3.1567,8.5182,53.0631,8.3162,13.748,-21.5481,-20.7745,36.0398,22.4326,6.627,7.538
PPM9.9305,-13.7749,-12.2507,-0.0851,7.3339,57.1847,20.1416,-1.2517,-40.34,-21.5024,23.8762,31.9072,-6.7458,12.6698
PPM9.9295,-28.7643,-25.7566,5.1101,-1.3915,47.7041,16.5905,-18.6333,-21.1547,4.7403,1.6527,14.6213,-10.1506,-4.564
PPM9.9285,-14.7476,-47.5831,-4.5399,17.5683,27.2774,11.782,-20.5142,3.4795,4.7613,3.3791,-25.8037,-21.9468,-35.8463
PPM9.9275,-4.1936,-35.8742,-40.1238,17.0872,37.3008,24.0608,-2.1745,9.0328,0.2405,26.6509,-20.2112,-7.3895,-53.3687
PPM9.9265,-19.3473,-24.1158,-45.613,19.1486,45.3047,22.9287,13.3388,32.4895,-1.7091,11.4322,6.2005,-6.3992,-69.8757
PPM9.9255,-50.8363,-52.222,-22.36,25.2944,16.0504,8.8122,8.2286,6.4742,9.4839,-7.3455,31.2615,-26.1233,-73.0138
PPM9.9245,-46.4158,-41.4648,-15.5387,-0.6457,4.5828,-41.5397,12.1383,-8.4386,16.0674,17.1166,19.2365,-43.3094,-54.1232
PPM9.9235,-20.2901,-11.2511,-27.1777,-14.9219,-11.8077,-59.726,-19.6815,17.6348,7.5279,48.9415,18.6097,-47.9809,-40.2595
PPM9.9225,-14.5429,4.3652,-31.6657,-23.9805,-22.2895,-47.8262,-49.5886,14.8268,-0.7657,54.4573,27.8954,-24.1264,-32.68
PPM9.9215,2.7799,19.418,-41.3232,-9.4164,-47.1277,-2.5187,-47.6557,2.1022,-7.8291,44.1276,15.4573,-28.3979,-5.0405
PPM9.9205,22.1709,44.7247,-55.306,-10.3187,-39.3654,5.9595,-51.0324,14.4871,-13.0869,32.3404,4.4717,-39.6914,27.38
PPM9.9195,20.3968,57.3789,-34.7827,-20.9759,-26.8283,-5.3095,-18.4227,15.6795,-16.8979,32.8939,19.2593,-19.1747,27.3294
PPM9.9185,10.4114,22.3446,-7.7632,-29.1875,-39.9319,-4.6755,-6.3489,-2.6361,1.6396,45.9449,25.7828,-8.2623,31.6921
PPM9.9175,13.757,15.5354,-4.7545,-35.4499,-34.266,-17.6099,-17.0989,-29.6828,8.6678,94.8969,20.5482,-26.9721,38.3924
PPM9.9165,4.2262,16.4602,-24.4434,-38.0173,-20.5422,-27.3439,-25.108,-49.7108,3.6469,90.5661,-11.56,-49.9185,43.6478
PPM9.9155,-29.1672,3.6727,-15.3644,-35.79,-16.7999,-23.4216,-39.5624,-18.3456,6.95,57.0059,-22.2957,-43.4014,28.0279
PPM9.9145,-32.9253,-16.4962,10.1898,-44.7952,-9.4554,-24.0269,-42.6928,25.1916,-1.5526,45.6308,-17.9953,-26.2253,5.4936
PPM9.9135,8.2013,-37.8276,8.1803,-47.9084,-6.2289,-16.5132,-7.0533,28.0869,6.681,36.3704,-30.4677,-15.977,14.2592
PPM9.9125,35.2852,-30.0842,-8.4053,-36.2512,-19.9286,-55.7415,16.4703,30.9702,35.4665,16.5682,-26.0873,7.1187,13.6155
PPM9.9115,28.538,-32.2593,-26.7744,-28.6241,-21.9405,-70.7901,5.9568,25.8037,15.6385,-12.6557,-4.0988,28.4833,5.7736
PPM9.9105,17.2403,-21.8353,-17.0123,-26.2777,5.1145,-70.7353,6.0408,13.8526,18.6825,-13.8323,0.825,3.816,26.2375
PPM9.9095,-8.6128,-13.1883,-24.0117,-5.7669,14.3503,-68.0426,4.9995,0.7959,10.5353,-11.7874,-3.0256,-5.213,24.0297
PPM9.9085,-19.3896,-2.0799,-26.3647,11.6636,23.656,-54.014,4.9398,23.911,-15.372,-26.6145,4.9286,13.8132,8.3532
PPM9.9075,-20.4858,-0.3722,-31.2118,0.4312,13.9632,-32.6386,-17.0963,7.0072,-33.093,-42.5318,5.5517,-7.6643,8.3982
PPM9.9065,-33.874,6.4856,-21.4971,7.601,22.6962,-38.0515,27.3362,-8.5454,-20.7518,-32.8258,25.1035,-13.3824,16.7977
PPM9.9055,-42.0854,9.8754,-25.7337,-6.7938,13.2304,-54.471,27.7191,-7.4124,-6.739,-29.6292,27.0023,-4.3892,2.9469
PPM9.9045,-30.2906,-0.6996,-27.3525,-25.5145,-7.5799,-45.6594,7.1055,0.7577,3.4191,-28.2342,11.1848,18.9959,-2.5368
PPM9.9035,-22.173,-5.4696,-19.217,-33.7633,-12.9927,-22.2245,-1.3016,-3.0999,21.8875,-19.4839,1.8939,54.2592,-4.1674
PPM9.9025,-3.1187,4.2564,-11.4049,-25.5715,-12.0066,-20.5725,-6.3876,-23.9811,11.1736,-13.6901,21.1792,84.4064,-13.3815
PPM9.9015,6.3576,13.0561,7.804,-29.8009,-32.6943,-30.117,-10.0857,-22.5022,4.4366,2.673,44.7557,70.7273,-3.9767
PPM9.9005,-8.1032,-17.0775,-7.0635,-50.948,-48.2498,-23.0424,-7.0372,-9.236,7.387,18.9654,67.0983,66.9996,6.8832
PPM9.8995,-17.8601,-16.9161,6.8584,-61.555,-43.0396,15.985,-6.4677,-6.594,11.2112,8.5992,62.9797,65.5925,16.3568
PPM9.8985,-16.7073,-16.9846,40.8851,-29.3769,-31.2052,22.8739,-5.9553,-6.2165,26.9197,22.9942,55.0873,42.655,-3.4821
PPM9.8975,2.0956,-17.1081,43.0429,3.3448,-33.2205,6.8312,10.3329,-28.6318,27.3348,28.9139,39.9722,-12.5868,-16.1318
PPM9.8965,-0.3527,-19.3921,35.9792,33.123,-12.8013,-10.7501,12.5455,-38.6627,38.1645,36.3358,9.7434,-32.78,-0.4131
PPM9.8955,0.0981,-9.895,21.1863,37.9531,-7.0182,-4.3585,-15.6877,-27.2356,48.3412,30.2579,12.3738,-17.8158,-5.3321
PPM9.8945,19.4569,-26.5292,30.5057,25.0578,-15.2082,19.3797,-26.9426,-17.8481,34.721,12.8974,17.6832,-9.0174,-14.6337
PPM9.8935,39.9682,-32.3272,23.9153,38.477,-17.4527,9.7143,-16.3204,3.432,-1.1187,23.0229,31.1706,-2.2168,-9.6236
PPM9.8925,48.4986,-22.3626,13.1213,30.1326,-31.5494,-7.4637,-8.5957,0.0109,-13.4778,17.6829,28.9932,-13.1335,-12.3151
PPM9.8915,19.9577,-40.7135,2.7219,11.1897,-9.3373,-3.1336,-35.7487,-17.0975,-16.7172,4.3231,2.7254,-16.3744,-21.5069
PPM9.8905,-0.76,-55.9895,11.6171,15.7733,-4.795,-10.2927,-70.8829,-8.98,3.762,3.7501,-13.9544,3.4529,-24.9675
PPM9.8895,16.7414,-69.1898,15.9414,5.5358,-27.7539,-2.533,-88.5226,-3.9737,-5.2077,-15.3282,-37.9427,16.9353,-58.4849
PPM9.8885,41.1535,-57.0937,23.3788,-16.9968,-28.296,34.5143,-59.5386,-11.7963,-20.8162,-22.6868,-57.3281,6.4827,-71.6712
PPM9.8875,24.6657,-25.4584,33.6454,-19.6453,-12.2462,34.7179,-49.4601,-27.5116,-30.1554,-13.0374,-50.4343,12.8113,-21.318
PPM9.8865,9.842,-22.4269,19.4164,1.5101,-4.5022,49.5237,-55.5537,-11.5775,-30.4703,-6.1437,-21.8954,-3.1628,5.2137
PPM9.8855,10.7399,-17.7892,-23.7158,24.8703,19.6405,45.1673,-29.0526,6.9263,-11.4989,-18.9554,-31.22,-25.7338,20.2479
PPM9.8845,15.1236,-5.3047,-25.2097,22.3178,39.8707,23.6417,-25.6564,-3.7556,-4.5434,-23.0264,-37.6022,-25.5847,9.2496
PPM9.8835,0.3727,-12.1807,-12.2603,24.1879,32.2591,25.5502,-24.3865,5.0057,-13.0723,-15.295,-3.6227,-20.4668,-9.8919
PPM9.8825,-31.3129,-14.7077,-35.2451,-13.1958,33.047,18.7809,-13.0466,-4.8708,-9.9177,5.2643,5.264,-14.2316,-20.7513
PPM9.8815,-48.4046,-15.2723,-25.1122,-23.9001,17.4065,47.1415,7.7008,-12.4765,-17.1042,18.8941,12.5304,2.5903,-35.7851
PPM9.8805,-51.1148,20.9816,8.1518,-15.7309,-2.0273,57.9486,24.2101,-14.5943,-25.054,2.2319,23.3015,-4.4224,-35.1096
PPM9.8795,-26.8439,18.5039,6.6626,-20.3021,-13.7349,45.4416,15.3302,0.2407,-33.1867,-7.6994,16.3736,-0.6574,-19.8054
PPM9.8785,-16.3422,-24.9238,-23.4604,-35.1573,-18.8769,25.7732,-2.1968,25.9996,-45.0997,-6.7957,0.8134,2.9782,2.9119
PPM9.8775,1.4095,-49.3526,-31.5785,-15.7663,-25.121,5.9766,0.6016,29.6681,-47.869,-8.3856,-6.976,-13.3779,10.4901
PPM9.8765,0.291,-42.1412,-18.4869,1.23,-13.4682,11.6368,8.6646,29.3281,-55.4821,13.547,8.0167,-23.5207,9.1148
PPM9.8755,-11.94,-26.6393,-15.2638,-4.1806,-6.1147,-5.0468,3.152,34.6247,-35.4965,-12.5824,8.2677,-26.9918,20.5155
PPM9.8745,-18.0841,-10.9453,-12.9522,-2.2589,-7.7941,-25.1708,-2.6357,12.8917,-15.1381,-31.0324,10.4256,-23.4416,39.1057
PPM9.8735,-12.8579,-7.8311,-30.61,-16.3393,-27.2195,-19.6009,-11.3159,9.0689,-14.4049,-0.4009,-12.6923,-1.9827,41.3189
PPM9.8725,-36.237,-19.8487,-31.4629,-14.4493,-13.8649,0.2382,-17.3815,-23.0501,2.2091,25.1321,-14.6872,-13.142,11.8565
PPM9.8715,-39.0115,-35.9315,-7.8643,-19.9594,21.8347,6.4705,-16.3512,-36.1944,0.5794,23.65,-17.2996,-37.4592,-6.8903
PPM9.8705,-28.6527,-38.4781,9.0273,-30.9339,0.475,-3.9853,2.7364,-19.7248,-7.442,31.3845,-15.9447,-40.7986,6.8964
PPM9.8695,-20.0789,-53.2354,0.9884,-28.8878,-12.6763,13.4934,23.7605,-27.3265,-8.3649,9.0844,8.3004,-6.3215,3.0859
PPM9.8685,10.7953,-33.9817,-13.2772,-16.4945,-7.6943,19.1627,58.7874,-51.5321,-1.1384,1.5697,24.4001,5.91,-2.2625
PPM9.8675,17.0078,9.2689,-29.1046,-25.4491,-14.2628,20.1826,57.9717,-50.5232,-13.3009,1.3932,15.7187,15.9041,15.8458
PPM9.8665,-2.3656,31.0226,5.1913,-27.7524,-5.2289,17.2215,46.4913,-48.9105,1.2964,-8.1088,-10.4237,5.6256,31.1313
PPM9.8655,-8.2071,4.2688,16.7405,-24.7258,-14.6185,19.2256,40.6628,-27.7192,42.4597,-19.2241,-15.7997,12.4668,35.0215
PPM9.8645,-21.3731,13.1912,4.6622,-27.6569,-21.4722,6.6025,30.301,-0.9475,12.2036,-30.7686,-15.0093,-2.9401,29.0469
PPM9.8635,-15.272,31.1864,17.7266,-43.4677,-13.6719,-6.6924,11.9475,-12.5518,-15.3739,-10.3268,-7.1491,-15.8014,14.2663
PPM9.8625,-0.5696,23.5863,28.4977,-46.5626,-33.501,-11.2934,10.0327,-19.1392,-2.4995,9.4768,4.6108,-15.4229,26.8541
PPM9.8615,7.8235,19.1188,21.4058,-17.1831,-27.7138,-16.6854,18.1311,-27.6801,16.0714,10.8203,-2.242,-2.5236,34.1956
PPM9.8605,-0.4632,8.4926,23.4381,8.5685,-9.6104,-17.2669,27.8884,-15.9737,36.5057,-3.3713,-5.3926,11.4746,35.0378
PPM9.8595,-13.4691,24.768,16.2052,17.6669,4.6314,-15.5213,4.2363,-12.2327,47.6815,3.8722,11.4028,0.774,45.7857
PPM9.8585,-14.1395,32.6479,12.4389,15.891,19.8956,-36.0873,0.3406,-7.5836,26.7325,-1.2429,11.736,-33.0328,22.9766
PPM9.8575,-22.12,21.1905,15.9691,8.3458,19.2513,-45.6185,10.548,-1.9651,15.2734,-5.8126,-3.3398,-15.1947,-1.2403
PPM9.8565,-13.8083,-5.1586,13.4673,12.0821,7.1636,-55.417,-14.0189,20.7821,12.0952,-9.5822,-14.7697,19.6399,-13.3171
PPM9.8555,-17.8044,-10.2787,11.4302,40.9121,31.9485,-72.3828,-13.2839,26.9616,-2.9497,-30.3957,-17.5783,23.4614,-10.6941
PPM9.8545,-35.7856,12.0335,13.2277,72.1092,23.535,-61.5379,-6.2154,-4.0857,1.8695,-46.3566,-11.7011,26.0082,-8.4792
PPM9.8535,-38.6828,13.2054,30.7116,85.031,-8.6969,-9.3069,-0.0208,-21.2747,-19.3138,-32.8908,18.5307,38.0837,-11.5066
PPM9.8525,-42.3612,22.8813,22.2546,81.5775,-11.0566,19.0703,16.7843,10.7504,-51.3127,-27.5619,12.1232,32.5131,7.5329
PPM9.8515,-41.9588,18.6199,21.2129,65.2319,-3.7705,1.0491,-2.474,10.868,-55.9729,-11.299,9.8812,34.1087,7.4058
PPM9.8505,-45.7298,-1.2221,18.8099,23.7762,2.4633,24.9995,13.5615,-6.4479,-45.9507,-3.494,11.5573,20.8618,-12.6133
PPM9.8495,-32.7684,-26.5599,16.5332,-9.9394,-22.2282,48.2415,23.0203,-6.9909,-55.5835,-19.541,13.6441,11.6924,-6.4549
PPM9.8485,-3.6871,-16.6844,-18.0053,-28.9564,-9.148,39.2013,4.5748,-11.8115,-50.1288,-29.2791,-11.4531,1.7038,1.48
PPM9.8475,4.7281,-10.294,-46.0499,-16.0692,16.0438,15.8593,-13.8678,-1.33,-14.0438,-20.0441,-27.9747,-19.0369,-6.3109
PPM9.8465,7.7057,7.8743,-56.6053,-13.1048,31.4028,17.6994,-2.1369,-5.2582,-4.1437,-4.3625,-18.5309,-8.5691,3.0798
PPM9.8455,-16.6564,-5.3159,-48.8547,-5.9457,51.9654,28.9881,18.7633,1.4009,-28.6933,17.5157,0.996,16.2962,14.5167
PPM9.8445,-10.0215,-5.3346,-33.065,-26.0694,57.68,18.4375,12.0862,6.5336,-8.5104,29.6052,27.0076,38.0081,4.5341
PPM9.8435,-2.2788,6.8861,0.1909,-32.2775,32.259,28.0098,-17.8696,3.9421,-10.2609,10.9165,22.8693,38.4961,-7.8825
PPM9.8425,16.0253,31.0998,22.7778,-20.6923,25.1391,19.8988,-13.3096,4.0713,-51.4776,6.4851,1.1425,32.5959,-1.4827
PPM9.8415,9.9914,24.3478,37.8875,1.1895,10.3945,-19.2251,-6.7194,2.6029,-37.092,15.2096,2.9897,13.1907,9.4207
PPM9.8405,1.0589,-4.7837,65.406,33.5429,5.1111,-5.9646,-21.0151,-6.8532,1.1693,15.4452,1.7653,-11.0923,-3.092
PPM9.8395,10.4234,-5.415,55.2442,34.1545,18.9285,-24.645,-23.3816,-38.5718,9.0686,-3.0378,-6.8528,-26.6995,-0.7116
PPM9.8385,16.1015,-29.0597,6.5573,27.3441,26.4173,-17.5646,-16.3712,-21.0561,-0.2429,-37.4505,-7.6092,-25.4593,18.9814
PPM9.8375,14.9196,-61.7678,-14.553,29.8233,8.7912,-8.1387,-24.7482,-1.158,-3.7281,-16.6152,-19.0724,-18.2216,25.7394
PPM9.8365,15.738,-47.8389,-20.2233,35.4616,-9.333,4.3576,-32.0904,3.9102,2.0387,-8.599,-18.2428,-17.3341,13.0246
PPM9.8355,7.0678,-23.4916,-25.4699,15.6606,-29.2807,4.4025,-22.6656,14.8046,-17.2176,-21.2341,-12.2542,3.6669,-9.9502
PPM9.8345,10.7256,-24.41,-49.4513,-1.3694,-36.2342,-14.9979,-17.9634,26.8226,-23.3579,-43.9069,-15.2918,4.2032,-27.1172
PPM9.8335,8.9575,-22.6061,-46.3394,-3.7192,-28.6345,-17.1729,-3.6095,24.9081,-1.3899,-35.4163,-21.0867,-14.2161,-37.0363
PPM9.8325,15.6528,-1.782,-12.1883,-20.6468,-35.7471,-15.6705,-33.832,17.7304,-9.1495,-18.4258,2.1176,-6.9419,-33.328
PPM9.8315,13.1963,-1.201,-18.7871,-10.6407,-13.3422,2.232,-26.3197,0.784,-16.7075,-32.3524,-7.4581,-14.4326,-10.6931
PPM9.8305,-0.2643,6.9084,-3.1755,15.9251,8.0907,11.1466,-17.8662,-16.6239,10.8275,-49.095,-29.4186,-18.427,6.9474
PPM9.8295,8.047,-9.8848,2.1233,8.4526,14.4245,21.3942,-35.1393,0.6748,22.8547,-57.3707,-7.0169,-18.8185,6.0603
PPM9.8285,-3.567,-13.2838,-17.1873,-27.7067,14.8164,18.9929,-18.9558,24.7924,8.9252,-55.3355,-7.0878,-4.8908,-13.9737
PPM9.8275,-5.207,22.4827,4.3206,-36.8711,37.4116,12.5703,-25.9206,31.1394,8.0136,-57.3113,-13.3099,8.8599,-12.5194
PPM9.8265,-16.6498,37.5767,16.8265,-18.1698,62.9777,21.7242,-29.5797,44.1127,20.5951,-47.2743,-13.9391,18.2264,1.7773
PPM9.8255,-39.2347,45.7173,13.5005,-18.9787,57.9573,6.4026,-24.7183,39.9016,23.4569,-21.4607,-16.0098,26.1364,15.9542
PPM9.8245,-28.4497,7.8952,9.0224,-21.3828,56.514,8.6634,-16.6501,-7.4154,7.2834,-19.0845,-17.2509,20.2569,8.4143
